strScientificName_x,strUC,strCommonName,state_name,intHa,strScientificName_y,N_birds,N_points,Det_Rate
Quiscalus quiscula,bcogrx,Common Grackle,West Virginia,2097972.36,Quiscalus quiscula,841,274,8.6
Geothlypis trichas,bcoyex,Common Yellowthroat,West Virginia,4316256.27,Geothlypis trichas,734,545,17.1
Troglodytes aedon,bhowrx,House Wren,West Virginia,859798.17,Troglodytes aedon,190,158,5.0
Sitta canadensis,brbnux,Red-breasted Nuthatch,West Virginia,1959257.88,Sitta canadensis,65,61,1.9
Vireo olivaceus,brevix,Red-eyed Vireo,West Virginia,5018043.51,Vireo olivaceus,3501,1965,61.8
Hylocichla mustelina,bwothx,Wood Thrush,West Virginia,4561107.3,Hylocichla mustelina,1922,1234,38.8
Icterus galbula,bbaorx,Baltimore Oriole,West Virginia,5567031.63,Icterus galbula,223,190,6.0
Poecile atricapillus,bbcchx,Black-capped Chickadee,West Virginia,3396955.14,Poecile atricapillus,397,280,8.8
Dendroica pensylvanica,bcswax,Chestnut-sided Warbler,West Virginia,306022.32,Setophaga pensylvanica,587,329,10.3
Dumetella carolinensis,bgrcax,Gray Catbird,West Virginia,933744.06,Dumetella carolinensis,1000,686,21.6
Wilsonia citrina,bhowax,Hooded Warbler,West Virginia,4540682.52,Setophaga citrina,698,522,16.4
Oporornis formosus,bkewax,Kentucky Warbler,West Virginia,2810306.61,Geothlypis formosa,194,172,5.4
Columba livia,bropix,Rock Pigeon,West Virginia,546233.67,Columba livia,179,30,0.9
Agelaius phoeniceus,brwblx,Red-winged Blackbird,West Virginia,957717.09,Agelaius phoeniceus,2038,570,17.9
Tachycineta bicolor,btresx,Tree Swallow,West Virginia,1804972.5,Tachycineta bicolor,234,130,4.1
Icteria virens,bybchx,Yellow-breasted Chat,West Virginia,1272819.78,Icteria virens,298,258,8.1
Vireo flavifrons,bytvix,Yellow-throated Vireo,West Virginia,871674.75,Vireo flavifrons,330,305,9.6
Dendroica dominica,bytwax,Yellow-throated Warbler,West Virginia,43512.93,Setophaga dominica,296,276,8.7
Empidonax virescens,bacflx,Acadian Flycatcher,West Virginia,4568792.67,Empidonax virescens,810,637,20.0
Corvus brachyrhynchos,bamcrx,American Crow,West Virginia,2736310.5,Corvus brachyrhynchos,2755,1530,48.1
Coccyzus erythropthalmus,bbbcux,Black-billed Cuckoo,West Virginia,329447.43,Coccyzus erythropthalmus,62,55,1.7
Poecile carolinensis,bcachx,Carolina Chickadee,West Virginia,3978718.83,Poecile carolinensis,450,328,10.3
Thryothorus ludovicianus,bcarwx,Carolina Wren,West Virginia,4590385.56,Thryothorus ludovicianus,1209,913,28.7
Corvus corax,bcorax,Common Raven,West Virginia,2938864.14,Corvus corax,206,154,4.8
Picoides pubescens,bdowox,Downy Woodpecker,West Virginia,5142898.08,Picoides pubescens,385,352,11.1
Regulus satrapa,bgckix,Golden-crowned Kinglet,West Virginia,5167483.38,Regulus satrapa,61,57,1.8
