strScientificName_x,strUC,strCommonName,state_name,intHa,strScientificName_y,N_birds,N_points,Det_Rate
Falco sparverius,bamkex,American Kestrel,West Virginia,1919452.23,,,,
Thryomanes bewickii,bbewrx,Bewick's Wren,West Virginia,1454.67,,,,
Passerina caerulea,bblgrx,Blue Grosbeak,West Virginia,1664566.2,,,,
Quiscalus quiscula,bcogrx,Common Grackle,West Virginia,2097972.36,Quiscalus quiscula,841.0,274.0,8.6
Geothlypis trichas,bcoyex,Common Yellowthroat,West Virginia,4316256.27,Geothlypis trichas,734.0,545.0,17.1
Phalacrocorax auritus,bdccox,Double-crested Cormorant,West Virginia,0.09,,,,
Lophodytes cucullatus,bhomex,Hooded Merganser,West Virginia,66286.08,,,,
Troglodytes aedon,bhowrx,House Wren,West Virginia,859798.17,Troglodytes aedon,190.0,158.0,5.0
Rallus elegans,bkirax,King Rail,West Virginia,1255.32,,,,
Seiurus noveboracensis,bnowax,Northern Waterthrush,West Virginia,309306.51,,,,
Protonotaria citrea,bprowx,Prothonotary Warbler,West Virginia,2511.09,,,,
Progne subis,bpumax,Purple Martin,West Virginia,654258.51,,,,
Sitta canadensis,brbnux,Red-breasted Nuthatch,West Virginia,1959257.88,Sitta canadensis,65.0,61.0,1.9
Regulus calendula,brckix,Ruby-crowned Kinglet,West Virginia,3579367.86,,,,
Vireo olivaceus,brevix,Red-eyed Vireo,West Virginia,5018043.51,Vireo olivaceus,3501.0,1965.0,61.8
Melanerpes erythrocephalus,brhwox,Red-headed Woodpecker,West Virginia,4767366.06,,,,
Euphagus carolinus,brublx,Rusty Blackbird,West Virginia,550602.81,,,,
Bonasa umbellus,brugrx,Ruffed Grouse,West Virginia,5245966.08,,,,
Hylocichla mustelina,bwothx,Wood Thrush,West Virginia,4561107.3,Hylocichla mustelina,1922.0,1234.0,38.8
Icterus galbula,bbaorx,Baltimore Oriole,West Virginia,5567031.63,Icterus galbula,223.0,190.0,6.0
Poecile atricapillus,bbcchx,Black-capped Chickadee,West Virginia,3396955.14,Poecile atricapillus,397.0,280.0,8.8
Petrochelidon pyrrhonota,bclswx,Cliff Swallow,West Virginia,1106614.44,,,,
Dendroica pensylvanica,bcswax,Chestnut-sided Warbler,West Virginia,306022.32,Setophaga pensylvanica,587.0,329.0,10.3
